COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,date
Luxembourg,FEB2010,February 2010,2010,2,February,Hydro,108.78,1,1457.23,,0.2957505233680433,2010-02-01
Luxembourg,FEB2010,February 2010,2010,2,February,Wind,6.298,2,55.086,,0.0171229710992088,2010-02-01
Luxembourg,FEB2010,February 2010,2010,2,February,Solar,1.011,3,21.147,,0.0027487017753731,2010-02-01
Luxembourg,FEB2010,February 2010,2010,2,February,Geothermal,0.0,4,0.0,,0.0,2010-02-01
Mexico,FEB2010,February 2010,2010,2,February,Hydro,1648.577,1,36790.001,,0.0911553373090354,2010-02-01
Mexico,FEB2010,February 2010,2010,2,February,Wind,103.06,2,1236.72,,0.0056985321662677,2010-02-01
Mexico,FEB2010,February 2010,2010,2,February,Solar,2.433,3,30.999,,0.0001345287091066,2010-02-01
Mexico,FEB2010,February 2010,2010,2,February,Geothermal,486.37,4,6294.0,,0.026893024351908,2010-02-01
Netherlands,FEB2010,February 2010,2010,2,February,Hydro,9.0,1,105.0,,0.0008873703243841,2010-02-01
Netherlands,FEB2010,February 2010,2010,2,February,Wind,365.044,2,3993.137,,0.0359921347438314,2010-02-01
Netherlands,FEB2010,February 2010,2010,2,February,Solar,3.268,3,55.871,,0.0003222140244541,2010-02-01
Netherlands,FEB2010,February 2010,2010,2,February,Geothermal,0.0,4,0.0,,0.0,2010-02-01
New Zealand,FEB2010,February 2010,2010,2,February,Hydro,1878.558,1,24479.241,,0.5867484830435392,2010-02-01
New Zealand,FEB2010,February 2010,2010,2,February,Wind,116.596,2,1620.804,,0.036417574612519,2010-02-01
New Zealand,FEB2010,February 2010,2010,2,February,Solar,0.381,3,3.79,,0.0001190014745563,2010-02-01
New Zealand,FEB2010,February 2010,2010,2,February,Geothermal,312.304,4,5534.723,,0.0975449777161149,2010-02-01
Norway,FEB2010,February 2010,2010,2,February,Hydro,12006.914,1,116670.001,,0.956137371653744,2010-02-01
Norway,FEB2010,February 2010,2010,2,February,Wind,64.965,2,878.998,,0.0051733080081597,2010-02-01
OECD Americas,FEB2010,February 2010,2010,2,February,Hydro,59300.529,1,690682.002,,0.1491434981602773,2010-02-01
OECD Americas,FEB2010,February 2010,2010,2,February,Wind,6065.536,2,104857.722,,0.0152550959074428,2010-02-01
OECD Americas,FEB2010,February 2010,2010,2,February,Solar,110.344,3,4131.997,,0.0002775201239941,2010-02-01
OECD Americas,FEB2010,February 2010,2010,2,February,Geothermal,1668.696,4,21513.001,,0.0041968455088497,2010-02-01
OECD Americas,FEB2010,February 2010,2010,2,February,Other renewables,2.038,5,28.0,,5.125661682556746e-06,2010-02-01
OECD Asia Oceania,FEB2010,February 2010,2010,2,February,Hydro,8854.901,1,142007.098,,0.0592606478604394,2010-02-01
OECD Asia Oceania,FEB2010,February 2010,2010,2,February,Wind,1142.751,2,10797.443,,0.0076477607827761,2010-02-01
OECD Asia Oceania,FEB2010,February 2010,2010,2,February,Solar,295.648,3,3266.179,,0.0019785982947345,2010-02-01
OECD Asia Oceania,FEB2010,February 2010,2010,2,February,Geothermal,520.577,4,7992.478,,0.0034839158880764,2010-02-01
OECD Europe,FEB2010,February 2010,2010,2,February,Hydro,49407.559,1,585389.018,,0.1638031042722454,2010-02-01
OECD Europe,FEB2010,February 2010,2010,2,February,Wind,14136.822,2,150678.962,,0.046868442299369,2010-02-01
OECD Europe,FEB2010,February 2010,2010,2,February,Solar,1035.414,3,23227.303,,0.003432754639972,2010-02-01
OECD Europe,FEB2010,February 2010,2010,2,February,Geothermal,795.082,4,10042.333,,0.0026359711426137,2010-02-01
OECD Europe,FEB2010,February 2010,2010,2,February,Other renewables,39.334,5,472.008,,0.0001304057806912,2010-02-01
